Amino acid,Short,Abbrev.,Avg. mass (Da)
Alanine,A,Ala,89.09404
Cysteine,C,Cys,121.15404
Aspartic acid,D,Asp,133.10384
Glutamic acid,E,Glu,147.13074
Phenylalanine,F,Phe,165.19184
Glycine,G,Gly,75.06714
Histidine,H,His,155.15634
Isoleucine,I,Ile,131.17464
Lysine,K,Lys,146.18934
Leucine,L,Leu,131.17464
Methionine,M,Met,149.20784
Asparagine,N,Asn,132.11904
Pyrrolysine,O,Pyl,255.31
Proline,P,Pro,115.13194
Glutamine,Q,Gln,146.14594
Arginine,R,Arg,174.20274
Serine,S,Ser,105.09344
Threonine,T,Thr,119.12034
Selenocysteine,U,Sec,168.053
Valine,V,Val,117.14784
Tryptophan,W,Trp,204.22844
Tyrosine,Y,Tyr,181.19124
